Text;Tweet;Class
RT @tvOneNews: Ratusan nelayan di Pati, Jawa Tengah menggelar aksi kibar bendera putih karena naiknya biaya Penerimaan Negara Bukan Pajak (â€¦;ratus nelayan pati jawa gelar aksi kibar bendera putih naik biaya terima negara pajak;negative
RT @FaktaKeuangan: Salah satu tujuan UU HPP adalah menciptakan keadilan dan kesetaraan, khususnya kepada masyarakat menengah-bawah, termasuâ€¦;salah tuju uuhpp cipta adil setara masyarakat menengah-bawah;positive
"RT @SangLangit01: NIK = NPWP
Sekilas nampak keren &amp; kekinian.
Semua pemilik NIK adalah wajib pajak.
Tapi koq ada pemilik NIK yang ngemplang pâ€¦";nik npwp kilas nampak keren kini milik nik wajib pajak koq milik nik yang ngemplang;negative
@marlina_idha Ini yg bikin gw gak ikhlas bayar pajak;yang bikin gw gak ikhlas bayar pajak;negative
Pengemplang pajak. https://t.co/1m3KOE0NJh;kemplang pajak;negative
"RT @glrhn: This isn't fair.
Umur 17 tahun udah punya KTP, otomatis jadi wajib pajak. Otomatis punya kewajiban melaporkan pajak walaupun nihâ€¦";ini tidak adil umur udah ktp otomatis wajib pajak otomatis wajib lapor pajak nih;negative
MuslimahNews â€“ Topangan kebutuhan untuk menyejahterakan rakyat hanya dari sumber-sumber pendapatan yang bertumpu paâ€¦ https://t.co/IxjRLuq50u;topang butuh sejahtera rakyat sumber pada pajak dan utang. Ujung-ujungnya tetap saja membebani pundak rakyat.;negative
"NIK = NPWP
Sekilas nampak keren &amp; kekinian.
Semua pemilik NIK adalah wajib pajak.
Tapi koq ada pemilik NIK yg ngempâ€¦ https://t.co/c14rQ5P2IJ";nik npwp kilas nampak keren kini milik nik wajib pajak koq milik nik yang ngemplang;negative
RT @FKadrun: Anggota KPK yg jujur dan kritis dipecat, Jenderal TNI yg bela rakyat kecil dicopot.. giliran ada pejabat negara yang menggelapâ€¦;anggota kpk yang jujur kritis pecat jenderal tni yang bela rakyat copot gilir jabat negara gelap;negative
RT @LurahIstana: NIK bakal menjadi NPWP artinya seluruh kehidupan rakyat yg memiliki KTP bakal diperas habis oleh rezim komunis.slogan komuâ€¦;nik npwp hidup rakyat yang milik ktp peras habis rezim komunis slogan komunis;negative
"RT @tijabar: Perusahaan Cangkang itu dipakai untuk menyelundupkan pajak.

""Jadi kalau ada kasus dari yang nama Pak Luhut (LBP) kemudian ada jurâ€¦";usaha cangkang pakai selundup pajak dari yang nama luhut;negative
"RT @cilod2: Indonesia mabok
pemerintah mabok utang
pejabat mabok korupsi 
rakyat mabok pajak
#PajakPerasRakyat
#PajakPerasRakyat https://t.â€¦";indonesia mabok pemerintah mabok utang jabat mabok korupsi rakyat mabok pajak pajakperasrakyat;negative
@geloraco LagiÂ² rakyt yg bayar Pajak yg dirugikan, sementara manfaat buat rakyat kebanyakan tdk ada ðŸ˜‡;rakyat yang bayar pajak yang rugi manfaat rakyat banyak tidak;negative
Pajak yg mendalami rakyat kecil, para konglomerat di tamanjakan berbagai fasilitas keringanan pajak .â€¦ https://t.co/q9o6SstP7i;pajak yang dalam rakyat konglomerat tamanjakan fasilitas ringan pajak.  Dimana, letak keadilannya. Masihkah ada, anggota DPR yang peduli ke rakyat?;negative
"RT @murtado_zaki: cokinÂ² yg sedang BERKUASA di rezim ini
ingin MENGHANCURKAN &amp; KUASAI negara ini :

caranya = banyakin HUTANG &amp; gedein PAJAâ€¦";cokin yang kuasa rezim hancur kuasa negara banyakin hutang gedein pajak;negative
"RT @myself_iam23: Pertama, Mentang2 institusi negara yang gak bisa bangkrut, mana gaji lo lo pada dari pajak masyarakat
Kedua, di kritik buâ€¦";mentang institusi negara gak bangkrut gaji lo lo pajak masyarakat kritik;negative
RT @DitjenPajakRI: Bagi para pelaku UMKM, di UU HPP ada aturan terkait bagian penghasilan bruto yang tidak dikenai pajak khusus untuk UMKM.â€¦;laku umkm uuhpp atur kait hasil bruto kena pajak khusus umkm;positive
"RT @CintaNirmala2: @Pasopati5151 Ini luar biasa Jahatnya 
Rakyat tidak di kasih Subsidi 
Malah di mintai kasih Subsidi buat Negara lewat baâ€¦";jahat rakyat kasih subsidi minta kasih subsidi negara;negative
"#Opini â€” Pandora Papers mengungkap bagaimana cara orang"" kaya menyembunyikan aset dan kekayaan utk menghindari pajaâ€¦ https://t.co/zntf3bDiPg";opini pandora papers ungkap orang kaya sembunyi aset kaya untuk hindar pajak. Pada sisi lain, rakyat jelata malah terbebani dengan adanya pemberlakuan umum wajib pajak kepada seluruh masyarakat. Rakyat dapat apesnya?;negative
"RT @Boediantar4: Seperti yang sudah-sudah
Bagaimana kalau mereka dijadikan duta pajak?
Keren tuh
#PajakPerasRakyat
#PajakPerasRakyat https://â€¦";yang sudah jadi duta pajak keren tuh pajakperasrakyat;negative
 Kita capek doang byr in pajak....;capek doang bayarin pajak;negative
RT @Reiza_Patters: Daftar Kebijakan Plinplan Jokowi, Kereta Cepat-Amnesti Pajak https://t.co/z48hAIGALF;daftar bijak plinplan jokowi kereta cepat-amnesti pajak;negative
"RT @DitjenPajakRI: Berikut ini implementasi pajak karbon di UU HPP. 

#PajakBerkeadilan https://t.co/P0PgvZK4Q7";implementasi pajak karbon uuhpp pajak berkeadilan;positive
"RT @DitjenPajakRI: Beberapa alasan kenapa pajak karbon perlu diterapkan di Indonesia. 

Salah satunya untuk mitigasi perubahan iklim dan meâ€¦";alasan pajak karbon terap indonesia salah satu mitigasi ubah iklim;positive
@OposisiCerdas Dpr era baru... kerja cuma ketok palu ngaku terhormat padahal cuma ngabisin pajak rakyat...ambyar;dpr era kerja ketok palu ngaku hormat ngabisin pajak rakyat ambyar;negative
Dengan adanya edukasi perpajakan ini, pihak KPP berharap wajib pajak semakin mengerti dan mampu melaksanakan kewajiâ€¦ https://t.co/ihIA1m3v5p;edukasi pajak kpp harap wajib pajak laksana kewajiban perpajakannya dengan baik. #PajakKitaUntukKita #PajakKuatIndonesiaMaju;positive
RT @detikcom: Program tax amnesty jilid II bisa membuat pengemplang pajak semakin banyak dan menyepelekan karena menganggap kebijakan ini bâ€¦;program taxamnesty jilidii kemplang pajak sepele anggap bijak;negative
"Negeri sakit
Pajak selangit https://t.co/wUas9K2NkO";negeri sakit pajak langit;negative
"RT @dancersejati1: YANG NGEMPLANG PAJAK GEDE2AN, SAMPAI MASUK PANDORA PAPERS, AMAN. 

Yang hidupnya sudah susah, gak pernah korupsi, malahâ€¦";ngemplang pajak gede masuk pandora papers aman hidup susah gak korupsi;negative
"Beberapa alasan kenapa pajak karbon perlu diterapkan di Indonesia. 

Salah satunya untuk mitigasi perubahan iklim dâ€¦ https://t.co/hmS2dKvSpg";alas pajak karbon terap indonesia salah satu mitigasi ubah iklim dan mengubah perilaku pelaku aktivitas ekonomi yang berpotensi menghasilkan emisi gas rumah kaca.;positive
"RT @_gonfreeecss: @M1_nusaputra @fahrisalam Bukannya evaluasi malah defensif. Mentang2 institusi negara yang gak bisa bangkrut. 

Sialnya,â€¦";evaluasi defensif mentang institusi negara gak bangkrut sial;negative
Bedanya anggota DPRD dan pemerintah dibayar. Bayarannya hasil dari warga jelata yg diobrak-obrak untuk rutin bayarâ€¦ https://t.co/BB59d1M6Rx;"beda anggota dprd pemerintah bayar bayar hasil warga jelata yang obrak-obrak rutin bayar pajak. Lalu..""Warga nek kritik iku kudu ngasih solusi, sekalian kasih identitas yang jelas, jangan akun anonim. Biar sekalian bisa dicyduk""";negative
" Ini luar biasa Jahatnya 
Rakyat tidak di kasih Subsidi 
Malah di mintai kasih Subsidi buat Negara lewâ€¦ https://t.co/Tq14O0iHag";jahat rakyat kasih subsidi minta kasih subsidi negara lewat bayar Pajak ! (Gile Elu Droo..) #MungkinkahPresidenDarkTriad #MungkinkahPresidenDarkTriad;negative
"Nelayan Kena Pajak 400 Persen, Rizal Ramli: Tega Banget Ya? Yang Gede-Gede Bebas Pajak
https://t.co/Fbl2KhSUWg";nelayan kena pajak persen rizalramli tega banget ya gede bebas pajak;negative
"Ngomongin utang indonesia di kantor pajak sambil misuh2 ""biar aja dia yg bayar"" emang orang indo macem gini waktu kecil diapain dah?";ngomongin utang indonesia kantor pajak misuh biar aja yang bayar emang orang indo macem gini diapain dah;negative
"4. NIK = NPWP

Aturan ini adalah implementasi integrasi data kependudukan dan perpajakan. 

Apakah itu artinya semuâ€¦ https://t.co/Mz1RLh53rO";nik npwp atur implementasi integrasi data semua penduduk pajak;positive
"2. PPh UMKM

#RUUHPP mengatur ulang batas penghasilan dengan lebih adil bahwa UMKM dengan penghasilan sampai Rp500â€¦ https://t.co/r6gDdfuyim";"pph umkm ruuhpp atur ulang batas hasil adil umkm hasil sampai Rp500 juta tidak kena pajak.

Mengubah aturan sebelumnya yang tidak memiliki batas ini sehingga berapapun penghasilan UMKM akan kena pajak.";positive
#Opini â€” Pandora Papers mengungkap bagaimana cara orang-orang kaya menyembunyikan aset kekayaan menghindari pajak.â€¦ https://t.co/4263haQwhP;opini pandora papers ungkap orang kaya sembunyi aset kaya hindar pajak. Pada sisi lain, rakyat jelata malah terbebani dengan adanya pemberlakuan umum wajib pajak kepada seluruh masyarakat. Rakyat dapat apesnya?;negative
RT @Nicho_Silalahi: Bangsat ni Rezim Jahanam Penghamba Oligarki dan Jongos Pengangguran China Yang Melindungi Koruptor. Giliran Pengusaha Tâ€¦;bangsat ni rezim jahanam hamba oligarki jongos anggur china lindung koruptor gilir usaha;negative
 Dinilai harus lebih berhati-hati. Rencana Undang Undang (UU) perpajakan pun disebut dapat negatif pada pemuâ€¦ https://t.co/EOBpwtyZLL;"nilai hati rencana undang undang uu pajak negatif pada pemulihan ekonomi karena memicu munculnya pajak baru
6. Tjahajo Kumolo alasannya sang menteri turut melontarkan pernyataan dukungan mangkirnya pimpinan KPK dari pemanggilan";negative
#Opini â€” Ketika rakyat harus membayar berbagai macam pajak, hidup pun makin sulit. Pada saat yang sama, oligarki daâ€¦ https://t.co/7IWa50d1XN;opini rakyat bayar pajak hidup sulit oligarki dan cukong berdasi menikmati harta kekayaannya karena kebijakan taxamnesty. Bentuk kekuasaan yang terbangun di atas kezaliman?;negative
 Ga sabar nunggu masyarakat di uganda entar dipaksa apabila ga bayar pajak. Ga mempan dipaksâ€¦ https://t.co/IZbtR9moJw;ga sabar nunggu masyarakat uganda entar paksa ga bayar pajak ga mempan dipaksa apabila ga bayar pajak. Ga mempan dipaksa dipenjara. Memang baik banget pemerintah aliran kiri & sesat seperti negara uganda;negative
Yang radikal itu perampok uang rakyat,  pengemplang pajak, sembunyâ€¦ https://t.co/ViXy6Tpo3w;radikal rampok uang rakyat kemplang pajak sembunyikan kekayaan biar nggak kena pajak, pinjol gelap,  debt kolektor liar, buzzerRp pemutar balik fakta.;negative
"RT @pajakdjpbanten: Bagi Wajib Pajak Badan, UU HPP memberikan kebijakan baru yaitu penurunan tarif PPh Badan.

Mulai tahun 2022, tarif wajiâ€¦";wajib pajak badan uuhpp bijak turun tarif pph badan tarif waji;positive
"RT @marlina_idha: Pengemplang Pajak di Indonesia Dapat Keringanan Sanksi dan Tak Dipidana, Enak Kan? 

Speechless ðŸ™„
https://t.co/AHj1pOSLAy";kemplang pajak indonesia ringan sanksi pidana enak speechless;negative
@viktorkonyolsky Amnesti pajak yg efektif mestinya 1 x aja. Kalo berkali -kali modus namanya ðŸ˜„;amnesti pajak yang efektif mesti aja kalo kali kali modus nama;negative
"RT @Tamitea4: Negara tidak memungut pajak kecuali keadaan kas negara dalam keadaan kritis.

Pungutan pajak hanya atas kaum muslim yang kayaâ€¦";negara mungut pajak kecuali kas negara kritis pungut pajak kaum muslim kaya;negative
"RT @speechless__99: Klo pajak naik.. sapa yg akan paling merasa terbebani??

Belum naik aja udh kembang - kempis

#PajakPerasRakyat
#PajakPâ€¦";kalau pajak sapa yang beban aja sudah kembang kempis pajakperasrakyat;negative
"Negara tidak memungut pajak kecuali keadaan kas negara dalam keadaan kritis.

Pungutan pajak hanya atas kaum muslimâ€¦ https://t.co/xMDoy8o0vo";"negara mungut pajak kecuali kas negara kritis pungut pajak kaum muslim yang kaya saja. Untuk dzimmi hanya ada pungutan jizyah bagi laki-laki yang sudah balig dan mampu membayarnya.

Bagi dzimmi yang miskin, maka tidak wajib membayar";negative
RT @Galih_Adhyatomo: @IMCMushroom Barisan pemuja jokowi tonjolkan GOBLOK nya daripada bisa mikir, lah wong gak punya pikiran semua https://â€¦;baris puja jokowi tonjol goblok nya mikir gak pikir;negative
"DPR skrg kok kacrut2 yaahh? 
Mirip Mental krupuk keujanan
 @BalitpusPDIP 
Kalian tuh wakli rakyat bong";dpr sekarang kacrut yaahh mental krupuk keujanan tuh wakli rakyat bong;negative
"Bagi Wajib Pajak Badan, UU HPP memberikan kebijakan baru yaitu penurunan tarif PPh Badan.

Mulai tahun 2022, tarifâ€¦ https://t.co/Cerwuvffws";wajib pajak badan uuhpp bijak turun tarif pph badan tarif;positive
"RT @athar_janvier: ""Kok tega banget ya? Yang gede-gede dapat bebas pajak (tax holiday). Royalti Batu Bara dihapus, negara rugi Rp60 triliunâ€¦";tega banget ya gede bebas pajak tax holiday royalti batu bara hapus negara rugi rp triliun;negative
RT @PerjuanganKata: Yg maksa prokes, gk pernah prokes. Yg maksa vaksin, gk mau vaksin. Yg maksa pajak, ngemplang pajak. Yg maling mlh dijadâ€¦;yang maksa prokes gak prokes yang maksa vaksin gak vaksin yang maksa pajak ngemplang pajak yang maling mlh;negative
"Pertama, Mentang2 institusi negara yang gak bisa bangkrut, mana gaji lo lo pada dari pajak masyarakat
Kedua, di kriâ€¦ https://t.co/Xqia1mOfLl";"Pertama, Mentang2 institusi negara yang gak bisa bangkrut, mana gaji lo lo pada dari pajak masyarakat
Kedua, di kritik bukannya berbenah malah denial.";negative
Orang-orang Kaya mengemplang pajak? Pintar sekali, daripada uangnya disia-siakan bahkâ€¦ https://t.co/0EOzvtYX69;Orang-orang Kaya mengemplang pajak? Pintar sekali, daripada uangnya disia-siakan bahkan dikorupsi.. lebih baik diberikan ke badan sosial atau keagamaan. Kalau pemerintah amanah wajib membayar pajak.;negative
"RT @GalaxyHarry4: Nilai Pengenaan Pajak Produk Pertanian Akan Persulit Kehidupan Petani
#PajakPerasRakyat
#PajakPerasRakyat 
@Cordovamindpaâ€¦";nilai kena pajak produk tani sulit hidup tani pajakperasrakyat;negative
Program ini bentuk keringanan bagi wajib pajak yang selama ini menghiraukan kewajiban https://t.co/FBut40yLDc;program bentuk ringan wajib pajak hirau wajib;positive
 pasti pendukung si pendusta mobil siluman, pendusta uang gaib trilyunan rebu.â€¦ https://t.co/iVPhCCAiJx;"pasti pendukung si pendusta mobil siluman, pendusta uang gaib trilyunan rebu. 

Sesembahan dia yang tukang boong eh nuduh orang lain.";negative
@speechless__99 Semoga pendapatan rakyat juga naik jadi berimbang dgn naik/bertambahnya pajak;moga dapat rakyat imbang dengan tambah pajak;positive
"Pasrah . 
Rela jadi goblok. 
Di sistem bobrok !!! 
Mau bilang apa .
Semua Direkayasa
Pajak serasa malak
Menuntut haâ€¦ https://t.co/YDOHK4M0Eq";"Pasrah . 
Rela jadi goblok. 
Di sistem bobrok !!! 
Mau bilang apa .
Semua Direkayasa
Pajak serasa malak
Menuntut hak di pukul atau temba
Itu lah wujud hadirnya pemberientah
Pada rakyat yang seperti sapi perah. 
Apakah kita memang bangsa gagal?
Revolusi basa basi untuk korupsi .";negative
@OposisiCerdas Tenang aja masih ada rakyat ko yg nanggung dgn menaikan pajak,..;tenang aja rakyat ko yang nanggung dengan naik pajak;negative
RT @M3J1KU_H1B1N1U: Ketika negara berhutang dan rakyatpun diharuskan membantu membayar melalui pajak tapi para korupsi yg dengan sengaja meâ€¦;negara hutang rakyat harus bantu bayar pajak korupsi sengaja;negative
"RT @RkytJlata: #RezimOligarki
Nelayan ditinggalkan.  Pemimpin yg ditampilkn memang pemimpin oligarki. Lahir &amp; diusung oligarki yg sbgian beâ€¦";rezim oligarki nelayan tinggal pimpin tampil pimpin oligarki lahir usung oligarki;negative
@KetumProDEMnew @BossTemlen ðŸ˜³ðŸ˜³ðŸ˜³ kalau itu benar, dengan cara apa bisa semakin kaya dan menghindari pajak???, Bingung saya;kaya hindar pajak bingung;negative
memperluas sektor pajak untuk bayar hutang negara;luas sektor pajak bayar hutang negara;positive
Pajak Karbon RI Dinilai Juara dalam Pengendalian Perubahan Iklim Dunia https://t.co/U4EMPpNItx;pajak karbon ri nilai juara kendali ubah iklim dunia;positive
Komisi XI Pastikan Diskon Pajak Bukan Hanya Dinikmati Orang Tajir https://t.co/bnaKZMDddq;komisi xi pasti diskon pajak tidak hanya nikmat orang tajir;positive
Wah beda sekali sama negara taik land 62+ pajak dari rakyat di peres habis tanpa sisa sedang kan cukong bâ€¦ https://t.co/KOXKw9aAqa;Wah beda sekali sama negara taik land 62+ pajak dari rakyat di peres habis tanpa sisa sedang kan cukong bangsat malah di kasi amnesti pajak.;negative
"RT @Mr_Bot98: https://t.co/nmgiviro2h

Pro Kontra Aturan Baru Pajak di 2022, Siap-Siap Harga Barang Makin Mahal

Rakyat lagi yang kena
#Pajâ€¦";pro kontra atur pajak siap harga barang mahal rakyat kena paj;negative
"@emprosay Bukan pajak namanya, tapi rakyat bayar upeti buat penjajah
#PajakPerasRakyat 
#PajakPerasRakyat";pajak nama rakyat bayar upeti jajah pajakperasrakyat;negative
 Terus terang, sy bosan lihat muka Menteri Keuangan tiap kali muncul di Media bicaranya kalau bukanâ€¦ https://t.co/UygygqcPXy;Terus terang, saya bosan lihat muka Menteri Keuangan tiap kali muncul di Media bicaranya kalau bukan utang, ya pajak. Sekali2 bicara kek yang membuat rakyat senang dan bangga, biar imun rakyat bisa stabil dan lebih kuat.;negative
"RT @cilod2: Pajak di rezim koruptor
ibarat tukang palak nguber setoran
#PajakPerasRakyat
#PajakPerasRakyat https://t.co/ss7eXGF7nS";pajak rezim koruptor tukang palak nguber setor pajakperasrakyat;negative
Ini yaa temenâ€â€¦ ngga semua yg punya ktp membayar pajak https://t.co/1DBnn4moum;yaa temen ngga yang ktp bayar pajak;positive
aktanya: Semua fasilitas pemerintah adalah bersumber dari Pajak Rakyat;nik npwp uuhpp integrasi basis data duduk sistem administrasi pajak;positive
Selain meningkatkan penerimaan pajak,Â  UU Harmonisasi Peraturan Perpajakan ini pada akhirnya diharapkan akan memperâ€¦ https://t.co/kKJlXEhM6U;Selain meningkatkan penerimaan pajak,  UU Harmonisasi Peraturan Perpajakan ini pada akhirnya diharapkan akan memperkuat sistem administrasi perpajakan melalui kemajuan teknologi informasi digital.;positive
Kekhawatiran pajak yang eksesif juga dapat terhindari berkat penghapusan norma baru tentang alternatif minimum taxâ€¦ https://t.co/iEvXZAfN9C;Kekhawatiran pajak yang eksesif juga dapat terhindari berkat penghapusan norma baru tentang alternatif minimum tax (AMT) atau pajak penghasilan minimum, maupun penerapan multitarif dalam pajak pertambahan nilai.;positive
